school_name,season,division,conference_code,primary_conference,roster_size,avg_height_inches,median_height_inches,min_height_inches,max_height_inches,height_std_inches,imputed_height_count,avg_experience,median_experience,max_experience,transfer_count,international_count,transfer_pct,international_pct,imputed_height_pct,experience_year_1_count,experience_year_2_count,experience_year_3_count,experience_year_4_count,experience_year_5_count,experience_year_1_pct,experience_year_2_pct,experience_year_3_pct,experience_year_4_pct,experience_year_5_pct,position_l_ds_count,position_mb_count,position_oh_count,position_opp_count,position_s_count
Northern Arizona University,2025,DI,Big Sky,Big Sky Conference,16,71.375,72.5,67.0,75.0,2.6551836094703507,0,2.625,3.0,5.0,3,1,0.1875,0.0625,0.0,4.0,3.0,5.0,3.0,1.0,0.25,0.1875,0.3125,0.1875,0.0625,1.0,3.0,3.0,3.0,4.0
Northern Illinois University,2025,DI,Mid American,Mid-American Conference,15,69.73333333333333,70.0,65.0,74.0,2.282438128301355,0,2.0,2.0,4.0,0,0,0.0,0.0,0.0,6.0,5.0,2.0,2.0,0.0,0.4,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.0,1.0,4.0,5.0,2.0,3.0
Northern Kentucky University,2025,DI,Horizon,Horizon League,10,71.5,71.0,70.0,75.0,1.5811388300841875,0,2.2,2.0,4.0,0,0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.3,0.3,0.3,0.1,0.0,0.0,2.0,7.0,0.0,1.0
Oakland University,2025,DI,Horizon,Horizon League,9,71.33333333333333,71.0,68.0,76.0,2.3452078799117193,0,2.4444444444444446,2.0,5.0,0,0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,4.0,3.0,0.0,2.0
Oral Roberts University,2025,DI,Summit,The Summit League,15,70.4,70.0,66.0,74.0,2.3543273227945916,0,,,,5,2,0.3333333333333333,0.13333333333333333,0.0,,,,,,,,,,,3.0,3.0,6.0,0.0,3.0
Portland State University,2025,DI,Big Sky,Big Sky Conference,16,70.125,71.5,63.0,74.0,3.4423828956117,0,2.0625,2.0,4.0,5,0,0.3125,0.0,0.0,6.0,5.0,3.0,2.0,0.0,0.375,0.3125,0.1875,0.125,0.0,3.0,5.0,3.0,2.0,3.0
Purdue University Fort Wayne,2025,DI,Horizon,Horizon League,14,70.5,71.0,64.0,74.0,3.031881873079444,0,2.0714285714285716,2.0,4.0,1,1,0.07142857142857142,0.07142857142857142,0.0,5.0,5.0,2.0,2.0,0.0,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.0,3.0,4.0,4.0,1.0,2.0
Quinnipiac University,2025,DI,MAAC,Metro Atlantic Athletic Conference,15,69.85323156180183,71.0,64.0,73.0,2.663435552559113,0,,,,0,12,0.0,0.8,0.0,,,,,,,,,,,2.0,3.0,5.0,2.0,2.0
Rider University,2025,DI,MAAC,Metro Atlantic Athletic Conference,13,71.84615384615384,72.0,70.0,73.0,1.143543749793731,0,2.769230769230769,3.0,5.0,0,1,0.0,0.07692307692307693,0.0,4.0,0.0,5.0,3.0,1.0,0.3076923076923077,0.0,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.0,4.0,4.0,3.0,2.0
Robert Morris University,2025,DI,Horizon,Horizon League,12,71.84662027090793,72.28620689655173,66.12328767123287,75.0,2.428122501586701,0,2.25,2.0,5.0,0,1,0.0,0.08333333333333333,0.0,5.0,2.0,3.0,1.0,1.0,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,1.0,4.0,4.0,2.0,1.0
Sacred Heart University,2025,DI,MAAC,Metro Atlantic Athletic Conference,18,70.12086903558135,71.45390070921985,66.12328767123287,73.15611814345992,2.788491360900574,0,2.388888888888889,2.0,5.0,0,1,0.0,0.05555555555555555,0.0,5.0,5.0,5.0,2.0,1.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.05555555555555555,5.0,4.0,5.0,1.0,3.0
